,exrept,results
591,"{ conductivity }: that of YSZ, standing at 1 S/cm at 900 °C (and PO2∼10-18
atm).)","[{'Pressure': {'raw_value': '10-18', 'raw_units': 'atm)', 'value': [10.0, 18.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['YSZ']}}}}]"
592,"Nb-doped SrTiO3 anodes or donor (n)-doped ABO3 perovskite with various A/B ratios Sr0.99Ti1−xNbxO3, Sr(1−x/2)0.99Ti(1−x)NbxO3, and Sr(1−x)0.99Ti(1−x)NbxO3 (x
= 0, 0.01, 0.02, 0.05, and 0.10) exhibited electrical conductivity of >120 S/cm at 1000 °C and PO2 of 10−18
atm .)","[{'Pressure': {'raw_value': '10−18', 'raw_units': 'atm', 'value': [10.0, 18.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Nb-doped SrTiO3']}}}}]"
658,"a, inset), mixed with icosanoic acid, exhibit high electrical conductivity (σ=10 S/cm) and metal-like temperature dependence (∂σ/∂T<0) above 250 K, providing the first example of macroscopically metallic LB films without secondary treatments .)",
787,"Despite the presence of defects, the conductivity of the films, with values as high as 800 S/cm at 330 °C in 1 atm O2, is considered very promising for their application as cathodes in intermediate-temperature SOFCs.)","[{'Pressure': {'raw_value': '1', 'raw_units': 'atm', 'value': [1.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['SOFCs']}}}}]"
809,"Therein, LiSEt reacts with P4S10 to create a fully soluble complex at a molar ratio of 1 LiSEt:1 P2S5 (Fig. 6), which is then treated with Li2S to complete the reaction to form Li3PS4 as a precipitate (this method, after heat treatment at 140 °C, led to β-Li3PS4 with an ionic conductivity of 1.32 × 10−4 S cm−1), though it was unclear from this work if there was a shortening of the needed reaction time.)",
910,"The electrical conductivity of Y0.8Ca0.2Cr0.85Ni0.15O3±δ at 900 °C in reducing atmosphere (pO2
≈ 10−17
atm) was 5.8 S cm−1)","[{'Pressure': {'raw_value': '10−17', 'raw_units': 'atm)', 'value': [10.0, 17.0], 'units': 'Atmospheres^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Y0.8Ca0.2Cr0.85Ni0.15O3']}}}}]"
1034,5-C6H3(CF3)2}4] dissolved in scCO2–CH3CN (molar ratio CH3CN:CO2 ∼ 0.12) at 20 MPa and 328.15 K we obtain a maximum measured conductivity of ∼3 mS cm−1.),"[{'Pressure': {'raw_value': '20', 'raw_units': 'MPa', 'value': [20.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['scCO2–CH3CN']}}}}]"
1054,These materials have a moderate proton conductivity approaching 10−3 S/cm at 900 °C and are presumably stable in CO2 and steam containing atmospheres.),
1055,"{  at room temperature }: With CSA/L-CSA post treatment, the electrical conductivity of the samples can be up to 644.7 S/cm, which is much higher)",
1082,"Treatment at 220 °C only for 30 min of PANI-DBSA led to a four order loss in the conductivity, from 120 to 0.01 S/cm, indicated that 220 °C might be a ‘dead point’ for sulfonic acid doped PANI .)",
1117, the maximum electrical conductivity of PEDOT:PSS films was up to 520 S cm-1 by EG post-treatment at its boiling point (197 °C)),
1128,"The optimal conditions of the vacuum membrane distillation and the heat pump coupling system were as follows: a feed inlet temperature of 70 °C, a feed flow rate of 2.0 L/min, a membrane area of 0.1 m2, a cycle flow of the heat solution of 2.3 L/min, a cycle flow of the vapor of 1.6 L/min, a vacuum at 0.09 MPa, a COP of 3.08, a membrane flux of 17.8 kg/m2
h, and an electrical conductivity less than 10 μS/cm.)","[{'Pressure': {'raw_value': '0.09', 'raw_units': 'MPa', 'value': [0.09], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['COP']}}}}]"
1201,"E. coli O157:H7 cells were centrifuged with 5000×g at 4 °C for 12 min, and the pelleted cells were washed by phosphate buffer saline (PBS) (pH, 7.2 ± 0.1, 0.01 M NaH2PO4, 0.03 M Na2HPO4, and 0.09 M NaCl, electrical conductivity 1.23 ± 0.09 S/m) twice, and then re-suspended in PBS with final concentration about 2 × 108 colony-forming units per milliliter (CFU/mL) before treatment.)",
1292, Park et al. reported an σ value of approximately 4.23 S/cm for CuAl0.98Fe0.02O2 after calcination at 1073 K for 2 h and sintering twice at 1473 K for 20 h. Lu et al. obtained an σ value of approximately 3.07 S/cm for CuAlO2 synthesized by SPS at a pressure of 40 MPa.),"[{'Pressure': {'raw_value': '40', 'raw_units': 'MPa', 'value': [40.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['CuAl0.98Fe0.02O2']}}}}]"
1293,Yanagiya et al. obtained an σ value of about 4.00 S/cm for Cu0.979Ag0.02Zn0.01O2 synthesized by SPS at a pressure of 30 MPa and annealed at 1373 K for 24 h.),"[{'Pressure': {'raw_value': '30', 'raw_units': 'MPa', 'value': [30.0], 'units': '(10^6.0) * Pascal^(1.0)', 'specifier': 'at', 'compound': {'Compound': {'names': ['Cu0.979Ag0.02Zn0.01O2']}}}}]"
1652,"E. coli cells were centrifuged with 5000 ×g at 4 °C for 12 min, and the pelleted cells were washed by PBS (pH, 7.2 ± 0.1, 0.01 M NaH2PO4, 0.03 M Na2HPO4, and 0.09 M NaCl, electrical conductivity 1.23 ± 0.09 S/m) twice, and then re-suspended in PBS with final concentration about 2 × 108 colony-forming units per milliliter (CFU/mL) before treatment.)",
1676,{ conductivity }:  for Ba2FeMoO6 values reach almost 200 S cm−1 at 850 °C in hydrogen atmosphere),
1757, have quite high protonic conductivities (5–20 mS cm−1 at 800°C) and are resistant to reduction in H2/H2O atmospheres.),
1833,We recently demonstrated that molten potassium dihydrogen phosphate (KH2PO4 (KDP)) could be a promising proton-conducting molten electrolyte for pressurized intermediate temperature water electrolysis and observed a high conductivity (~ 0.30 S cm-1 at 300 °C) at pressures around 10 atm..),
1853, Das et al. reported a room temperature conductivity of 0.15 mS/cm for sol–gel based CuAlO2 samples *process* for 4 h under argon atmosphere.),
